customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,Churn_Original,AverageChargePerMonth,ChargeDifference,IncreaseInCharge,TotalServices,HasInternet,HasPhone,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_Yes,TechSupport_No,TechSupport_Yes,StreamingTV_No,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_0-12,TenureGroup_12-24,TenureGroup_24-48,TenureGroup_48-60,TenureGroup_60+,ChargeCategory_Low,ChargeCategory_Medium,ChargeCategory_High
7590-VHVEG,No,1,29.85,29.85,0,No,29.85,0.0,0,1,1,0,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False
5575-GNVDE,No,34,56.95,1889.5,0,No,55.5735294117647,1.3764705882352999,1,3,1,1,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False
3668-QPYBK,No,2,53.85,108.15,1,Yes,54.075,-0.22500000000000142,0,3,1,1,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False
7795-CFOCW,No,45,42.3,1840.75,0,No,40.90555555555556,1.3944444444444386,1,3,1,0,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
9237-HQITU,No,2,70.7,151.65,1,Yes,75.825,-5.125,0,1,1,1,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
9305-CDSKC,No,8,99.65,820.5,1,Yes,102.5625,-2.9124999999999943,0,5,1,1,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
1452-KIOVK,No,22,89.1,1949.4,0,No,88.60909090909091,0.49090909090908497,1,4,1,1,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
6713-OKOMC,No,10,29.75,301.9,0,No,30.189999999999998,-0.4399999999999977,0,1,1,0,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False
7892-POOKP,No,28,104.8,3046.05,1,Yes,108.78750000000001,-3.9875000000000114,0,6,1,1,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
6388-TABGU,No,62,56.15,3487.95,0,No,56.25725806451613,-0.10725806451613096,0,3,1,1,False,True,True,False,False,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False
9763-GRSKD,No,13,49.95,587.45,0,No,45.18846153846154,4.761538461538464,1,2,1,1,False,True,False,True,False,True,False,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
7469-LKBCI,No,16,18.95,326.8,0,No,20.425,-1.4750000000000014,0,1,0,1,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False
8091-TTVAX,No,58,100.35,5681.1,0,No,97.95,2.3999999999999915,1,5,1,1,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
0280-XJGEX,No,49,103.7,5036.3,1,Yes,102.78163265306122,0.9183673469387799,1,6,1,1,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True
5129-JLPIS,No,25,105.5,2686.05,0,No,107.44200000000001,-1.9420000000000073,0,6,1,1,False,True,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
3655-SNQYZ,No,69,113.25,7895.15,0,No,114.42246376811593,-1.1724637681159322,0,8,1,1,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True
8191-XWSZG,No,52,20.65,1022.95,0,No,19.672115384615385,0.9778846153846139,1,1,0,1,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False
